호선명,역명,엘리베이터 관리번호,근접 출입구번호,상세위치,시작층(지상/지하),시작층(운행역층),종료층(지상/지하),종료층(운행역층),정원(인원수),정원(중량)(kg),승강기 상태,승강기 일련번호
1호선,초량,2,"5,7번","(1F) 5,7번 출구 중간, 일본영사관 소녀상 옆",지하,B1,지상,1F,13,1000,운행,8037630
1호선,초량,3,,(B2) 부산역 방향 승강장 7-1 출입문 앞,지하,B2,지하,B1,13,1000,운행,8007744
1호선,초량,4,,"(B2) 부산진역 방향 승강장 7-1, 6-3 출입문 사이",지하,B2,지하,B1,13,1000,운행,8007745
1호선,부산역,1,5번,"(1F) 5번 출입구 옆
(B1) 대합실 고객센터 옆",지하,B1,지상,1F,13,1000,운행,8037817
1호선,부산역,2,4번,"(1F) 4번 출입구 옆
(B1) 대합실 화장실 옆",지하,B1,지상,1F,13,1000,운행,8022811
1호선,부산역,3,,"(B2) 중앙역 방향 승강장 7-2 출입문 앞
(B1) 대합실 표 내는 곳",지하,B2,지하,B1,13,1000,운행,8018411
1호선,부산역,4,,"(B2) 초량역 방향 승강장 7-1 출입문 앞
(B1) 대합실 표 내는 곳",지하,B2,지하,B1,13,1000,운행,8018412
1호선,중앙,1,13번,(1F) 13번 출구 전방 50m 지점,지하,B1,지상,1F,13,1000,운행,8055257
1호선,중앙,2,8번,(1F) 8번 출구 전방 100m 지점,지하,B1,지상,1F,13,1000,운행,8055256
1호선,중앙,3,12번,(1F) 14번 출구로부터 남포 방향 20m,지하,B1,지상,1F,13,1000,운행,8055258
1호선,중앙,4,,(B2) 남포역 방향 승강장 6-2 출입문 앞,지하,B2,지하,B1,13,1000,운행,8037297
1호선,남포,1,5번,"(1F) 5번 출입구 옆
(B1) 5번 출입구 방향",지하,1,지상,1,13,1000,운행,8055276
1호선,남포,2,4번,"(1F) 4번 출입구 앞
(B1) 4번 출입구 방향",지하,1,지상,1,13,1000,운행,8055277
1호선,남포,3,5번,"(B1) 표 내는 곳 내 계단 옆. 5번 출입구 방향
(B2) 자갈치역 방향 승강장 2-3 출입문 앞",지하,2,지하,1,13,1000,운행,8004884
1호선,남포,4,4번/6번,"(B1) 표 내는 곳 내 계단 옆. 4번/6번 출입구 방향 
(B2) 중앙역 방향 승강장 1-3 출입문 앞",지하,2,지하,1,13,1000,운행,8004883
1호선,자갈치,1,1번,"(1F) 1번 출입구 옆
(B1) 전기실 옆",지하,1,지상,1,15,1150,운행,8120-620
1호선,자갈치,2,"3,5번","(1F) 3,5번 출입구 옆
(B1) 소방물탱크실 옆",지하,1,지상,1,13,1000,운행,8035-093
1호선,자갈치,3,"6,8번","(1F) 6,8번 출입구 옆
(B1) 고객센터 옆",지하,1,지상,1,13,1000,운행,8019-518
1호선,자갈치,4,,"(B1) 7번 출입구 옆
(B2) 토성역 방향 승강장 1-2 출입문 앞",지하,2,지하,1,13,1000,운행,8019-519
1호선,자갈치,5,,"(B1) 10번 출입구 옆
(B2) 남포역 방향 승강장 1-2 출입문 앞",지하,2,지하,1,13,1000,운행,8061-561
1호선,토성,1,5번,"(1F) 5번 출입구 옆
(B1) 임대매장(약국) 옆, 5번 출입구 방향",지하,1,지상,1,13,1000,운행,8047-401
1호선,토성,2,"4, 6번","(L) 로비층, 부산대학병원과 연결
(1F) 4번/6번 출입구 사이
(B1) 임대매장(편의점) 옆, 4번/6번 출입구 방향",지하,1,지상,2,13,1000,운행,8002-795
1호선,토성,3,,"(B1) 동대신역 방향 표 내는 곳 내 계단 옆
(B2) 동대신역 방향 승강장 2-1 출입문 앞",지하,2,지하,1,13,1000,운행,8047-402
1호선,토성,4,,"(B1) 자갈치역 방향 표 내는 곳 내 계단 옆
(B2) 자갈치역 방향 승강장 2-3 출입문 앞",지하,2,지하,1,13,1000,운행,8061-438
1호선,동대신,1,1번,"(1F) 1번 출입구 근처
(B1)  1번출구 방향",지하,1,지상,1,13,1000,운행,8053540
1호선,동대신,2,2번,"(1F) 2번 출입구 근처
(B1)  2번출구 방향",지하,1,지상,1,13,1000,운행,8053539
1호선,동대신,3,,"(B1) 서대신역 방향 표 내는 곳 내 계단 옆
(B2) 서대신역 방향 승강장 7-1 출입문 앞",지하,1,지하,1,13,1000,운행,8018346
1호선,동대신,4,,"(B1) 토성역 방향 표 내는 곳 내 계단 옆
(B2) 토성역 방향 승강장 7-1 출입문 앞",지하,1,지하,1,13,1000,운행,8018347
1호선,서대신,1,1번,"(1F) 1번 출입구 옆
(B1) 1번/3번 출입구 방향 ",지하,1,지상,1,13,1000,운행,8053318
1호선,서대신,2,2번,"(1F) 2번 출입구 옆
(B1) 2번/4번 출입구 방향 ",지하,1,지상,1,13,1000,운행,8020862
1호선,서대신,3,,"(B1) 표 내는 곳  근처
(B4) 대티(동대신)역 방향 승강장 5-2 출입문 근처",지하,4,지하,1,13,1000,운행,8020862
